transport_id_bas,MobDr1to4_od30,MobDr1to6_od30,MobDr1to6_od10,MobDr1to6_od15,num,month_decision,amt_decision_w,amt_loan_w,dataloan_channel,age,id,transport_id,platform,income,debt,amountCents,risk,totalGMVAYear,costAYear,feesAyear,month,debtAYear,grossProfit,grossRate,netProfit,actualNetProfit,netProfitAfterCAP,beforeRiskamt,riskScore,afterRiskAmt,software_quota,ccrc_quota,bankflow_quota,com_quota,limit_before_loan,limit_debt,limit_after_loan,created,software,software_quota2,ccrc_income,ibs_income,comprehensive_income
192104,0,0,0,0,1,2017-06,20,5.1011,管家婆,32,3472,192104,pgjp,0,0,0,0.845836497,0,0,0,0,0,0,0,0,0,0,0,0,0,254337.1458,91295.55729,1630.348286,0,0,0,0,2018/4/19 16:49,pgjp,254337.1458,91295.55729,1630.348286,0
191771,0,0,0,0,1,2017-06,20,20,管家婆,29,3471,191771,pgjp,0,0,0,0.782910348,0,0,0,0,0,0,0,0,0,0,0,0,0,211321.9225,120000,42.85714286,0,0,0,0,2018/4/19 16:49,pgjp,211321.9225,120000,42.85714286,0
191766,0,0,0,0,1,2017-06,18.8,18.8,管家婆,26,3470,191766,pgjp,0,0,0,0.829712833,0,0,0,0,0,0,0,0,0,0,0,0,0,255955.2956,60000,0,0,0,0,0,2018/4/19 16:49,pgjp,255955.2956,60000,0,0
191565,0,0,0,0,1,2017-06,8.5,8.5,管家婆,49,3469,191565,pgjp,0,0,0,0.859963279,0,0,0,0,0,0,0,0,0,0,0,0,0,74958.35728,96000,891.4285714,0,0,0,0,2018/4/19 16:49,pgjp,74958.35728,96000,891.4285714,0
190917,0,0,0,0,1,2017-06,7.9,3.3328,管家婆,36,3467,190917,pgjp,0,0,0,0.801329096,0,0,0,0,0,0,0,0,0,0,0,0,0,71034.99227,58800,664.0928571,0,0,0,0,2018/4/19 16:49,pgjp,71034.99227,58800,664.0928571,0
190822,0,0,0,0,1,2017-06,15.134,15.1162,管家婆,40,3466,190822,pgjp,0,0,0,0.860879905,0,0,0,0,0,0,0,0,0,0,0,0,0,101430.5589,186588,1228265.202,0,0,0,0,2018/4/19 16:49,pgjp,101430.5589,186588,1228265.202,0
189983,0,0,0,0,1,2017-06,20,3.5,管家婆,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191770,0,0,0,0,1,2017-06,3.9,3.9,管家婆,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193249,0,0,0,0,1,2017-06,12,12,管家婆,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189937,0,0,0,0,1,2017-06,18.8,18.8,管家婆,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
